,Date,compound,neg,neu,pos,Open,High,Low,Close,Volume
2607,2017-07-12,0.9948,0.073,0.835,0.09300000000000001,9807.3,9824.95,9787.7,9816.1,150045594
2608,2017-07-13,0.9995,0.052000000000000005,0.8390000000000001,0.109,9855.8,9897.25,9853.45,9891.7,186866752
2609,2017-07-14,0.9996,0.077,0.7979999999999999,0.126,9913.3,9913.3,9845.45,9886.35,164456602
2610,2017-07-17,0.9991,0.05,0.8540000000000001,0.096,9908.15,9928.2,9894.7,9915.95,168596771
2611,2017-07-18,0.995,0.084,0.8140000000000001,0.102,9832.7,9885.35,9792.05,9827.15,303007860
2612,2017-07-19,0.9996,0.08,0.795,0.125,9855.95,9905.05,9851.65,9899.6,206376192
2613,2017-07-20,0.9998,0.06,0.8220000000000001,0.11800000000000001,9920.2,9922.55,9863.45,9873.3,166083004
2614,2017-07-21,0.9998,0.06,0.813,0.127,9899.6,9924.7,9838.0,9915.25,193286125
2615,2017-07-24,0.9998,0.075,0.789,0.135,9936.8,9982.05,9919.6,9966.4,179905535
2616,2017-07-25,0.9984,0.083,0.81,0.107,10010.55,10011.3,9949.1,9964.55,191206247
2617,2017-07-26,0.9997,0.076,0.7979999999999999,0.126,9983.65,10025.95,9965.95,10020.65,203697844
2618,2017-07-27,0.9998,0.07,0.8009999999999999,0.129,10063.25,10114.85,10005.5,10020.55,296782048
2619,2017-07-28,0.9998,0.063,0.809,0.127,9996.55,10026.05,9944.5,10014.5,197491415
2620,2017-07-31,0.9996,0.069,0.815,0.11599999999999999,10034.7,10085.9,10016.95,10077.1,245096535
2621,2017-08-01,0.9998,0.069,0.8079999999999999,0.12300000000000001,10101.05,10128.6,10065.75,10114.65,190000516
2622,2017-08-02,0.9996,0.078,0.8079999999999999,0.113,10136.3,10137.85,10054.2,10081.5,166463276
2623,2017-08-03,0.9992,0.085,0.792,0.12300000000000001,10081.15,10081.15,9998.25,10013.65,198665837
2624,2017-08-04,0.9989,0.057,0.8490000000000001,0.094,10008.6,10075.25,9988.35,10066.4,184082134
2625,2017-08-07,0.9997,0.059000000000000004,0.82,0.121,10074.8,10088.1,10046.35,10057.4,141566282
2626,2017-08-08,0.9995,0.069,0.8170000000000001,0.114,10068.35,10083.8,9947.0,9978.55,209645343
2627,2017-08-09,0.9990000000000001,0.073,0.8190000000000001,0.10800000000000001,9961.15,9969.8,9893.05,9908.05,174395293
2628,2017-08-10,0.9993,0.066,0.828,0.106,9872.85,9892.65,9776.2,9820.25,242820594
2629,2017-08-11,0.9995,0.08,0.7929999999999999,0.127,9712.15,9771.65,9685.55,9710.8,294732998
2630,2017-08-14,0.9992,0.073,0.8140000000000001,0.113,9755.75,9818.3,9752.1,9794.15,201613585
2631,2017-08-16,0.9978,0.094,0.792,0.114,9825.85,9903.95,9773.85,9897.3,226269013
2632,2017-08-17,0.9994,0.08199999999999999,0.795,0.12300000000000001,9945.55,9947.8,9883.75,9904.15,203652311
2633,2017-08-18,0.9986,0.09,0.792,0.11800000000000001,9865.95,9865.95,9783.65,9837.4,253931517
2634,2017-08-21,0.9993,0.084,0.797,0.11900000000000001,9864.25,9884.35,9740.1,9754.35,211627775
2635,2017-08-22,0.9996,0.086,0.7809999999999999,0.134,9815.75,9828.45,9752.6,9765.55,189267122
2636,2017-08-23,0.9997,0.07400000000000001,0.7959999999999999,0.13,9803.05,9857.9,9786.75,9852.5,173815509
2637,2017-08-24,0.9998,0.07200000000000001,0.795,0.133,9881.2,9881.5,9848.85,9857.05,190398702
2638,2017-08-28,0.9998,0.068,0.7979999999999999,0.134,9907.15,9925.75,9882.0,9912.8,164493772
2639,2017-08-29,0.9942,0.054000000000000006,0.875,0.071,9886.4,9887.35,9783.75,9796.05,178668444
2640,2017-08-30,0.9988,0.052000000000000005,0.862,0.086,9859.5,9909.45,9850.8,9884.4,162704136
2641,2017-08-31,0.9991,0.061,0.8420000000000001,0.09699999999999999,9905.7,9925.1,9856.95,9917.9,337782004
2642,2017-09-01,0.9995,0.071,0.8170000000000001,0.11199999999999999,9937.65,9983.45,9909.85,9974.4,162730656
2643,2017-09-04,0.9996,0.064,0.8220000000000001,0.114,9984.15,9988.4,9861.0,9912.85,153369495
2644,2017-09-05,0.9996,0.06,0.8320000000000001,0.10800000000000001,9933.25,9963.1,9901.05,9952.2,143522342
2645,2017-09-06,0.9995,0.08199999999999999,0.7929999999999999,0.124,9899.25,9931.55,9882.55,9916.2,153767846
2646,2017-09-07,0.9994,0.08199999999999999,0.789,0.129,9945.85,9964.85,9917.2,9929.9,194626599
2647,2017-09-08,0.9988,0.057999999999999996,0.848,0.094,9958.65,9963.6,9913.3,9934.8,168698771
2648,2017-09-11,0.9998,0.051,0.815,0.134,9971.75,10028.65,9968.8,10006.05,178409875
2649,2017-09-12,0.9990000000000001,0.053,0.848,0.098,10056.85,10097.55,10028.05,10093.05,188248293
